Date,Not indexed,Indexed,Impressions
2025-12-02,,,15
2025-12-03,,,7
2025-12-04,,,14
2025-12-05,,,9
2025-12-06,,,9
2025-12-07,,,15
2025-12-08,,,15
2025-12-09,,,2
2025-12-10,,,14
2025-12-11,,,11
2025-12-12,,,8
2025-12-13,,,7
2025-12-14,331,31,9
2025-12-15,334,28,14
2025-12-16,334,28,12
2025-12-17,334,28,7
2025-12-18,334,28,6
2025-12-19,334,28,8
2025-12-20,334,28,9
2025-12-21,334,28,9
2025-12-22,334,28,12
2025-12-23,336,26,8
2025-12-24,336,26,3
2025-12-25,336,26,3
2025-12-26,336,26,9
2025-12-27,336,26,7
2025-12-28,336,26,4
2025-12-29,336,26,9
2025-12-30,336,26,7
2025-12-31,336,26,9
2026-01-01,336,26,11
2026-01-02,336,26,10
2026-01-03,336,26,14
2026-01-04,336,26,27
2026-01-05,336,26,14
2026-01-06,336,26,14
2026-01-07,336,26,14
2026-01-08,336,26,8
2026-01-09,336,26,6
2026-01-10,336,26,20
2026-01-11,336,26,23
2026-01-12,336,26,11
2026-01-13,335,27,17
2026-01-14,335,27,13
2026-01-15,335,27,19
2026-01-16,335,27,9
2026-01-17,335,27,7
2026-01-18,335,27,12
2026-01-19,335,27,13
2026-01-20,335,27,18
2026-01-21,335,27,15
2026-01-22,335,27,10
2026-01-23,335,27,10
2026-01-24,335,27,14
2026-01-25,335,27,10
2026-01-26,335,27,12
2026-01-27,336,26,17
2026-01-28,336,26,11
2026-01-29,336,26,9
2026-01-30,336,26,12
2026-01-31,336,26,8
2026-02-01,336,26,13
2026-02-02,336,26,20
2026-02-03,336,26,18
2026-02-04,336,26,16
2026-02-05,336,26,8
2026-02-06,336,26,8
2026-02-07,337,25,16
2026-02-08,337,25,11
2026-02-09,337,25,16
2026-02-10,337,26,16
2026-02-11,337,26,15
2026-02-12,337,26,15
2026-02-13,337,26,21
2026-02-14,337,26,20
2026-02-15,337,26,15
2026-02-16,337,26,20
2026-02-17,339,24,31
2026-02-18,339,24,17
2026-02-19,339,24,9
2026-02-20,339,24,19
2026-02-21,339,24,24
2026-02-22,339,24,18
2026-02-23,339,24,15