Country,Clicks,Impressions,CTR,Position
United States,9,986,0.91%,18.17
India,5,358,1.4%,9.17
United Kingdom,4,87,4.6%,9.89
Germany,3,35,8.57%,19.54
Colombia,3,28,10.71%,4.04
Italy,2,70,2.86%,7.5
France,2,36,5.56%,11.19
Portugal,2,27,7.41%,5.26
Canada,1,57,1.75%,11.74
Brazil,1,51,1.96%,13.02
Indonesia,1,34,2.94%,7.21
Malaysia,1,30,3.33%,10.3
Serbia,1,24,4.17%,3.96
Romania,1,24,4.17%,4.54
Pakistan,1,22,4.55%,9.41
Poland,1,18,5.56%,11.44
Argentina,1,14,7.14%,3.93
Belgium,1,14,7.14%,7.64
Bangladesh,1,13,7.69%,8.15
Saudi Arabia,1,11,9.09%,16.09
Switzerland,1,9,11.11%,15.22
El Salvador,1,7,14.29%,7.57
Croatia,1,6,16.67%,4.33
Sri Lanka,1,5,20%,63.6
Sweden,1,4,25%,5.25
Czechia,1,3,33.33%,2.67
Kenya,1,3,33.33%,3
Austria,1,2,50%,5
Mexico,0,55,0%,6.82
Philippines,0,32,0%,8.09
Spain,0,32,0%,9.94
Turkey,0,25,0%,9.56
Greece,0,16,0%,4.62
Uzbekistan,0,15,0%,3.4
Chile,0,15,0%,4.07
Australia,0,15,0%,10.87
Thailand,0,12,0%,16.5
Vietnam,0,11,0%,10
Netherlands,0,11,0%,16.36
Hong Kong,0,9,0%,5.78
Bosnia & Herzegovina,0,8,0%,4.25
Russia,0,8,0%,10.75
Peru,0,8,0%,11
Slovakia,0,8,0%,15.5
Macedonia,0,7,0%,2.86
Nigeria,0,7,0%,16.14
South Africa,0,7,0%,18
Slovenia,0,6,0%,4.33
Japan,0,6,0%,5.5
Singapore,0,6,0%,6.17
South Korea,0,6,0%,6.67
Ukraine,0,6,0%,15.83
Norway,0,5,0%,5.6
Dominican Republic,0,5,0%,7.2
Bulgaria,0,5,0%,22.2
Uruguay,0,4,0%,2.75
Oman,0,4,0%,8
New Zealand,0,4,0%,20
Morocco,0,4,0%,26
Moldova,0,3,0%,2.33
Ireland,0,3,0%,3.67
Denmark,0,3,0%,7
Ecuador,0,3,0%,9.67
Finland,0,3,0%,10
Venezuela,0,3,0%,15.33
Egypt,0,3,0%,15.67
Nepal,0,2,0%,2
Paraguay,0,2,0%,2.5
Qatar,0,2,0%,4.5
Sudan,0,2,0%,5
Taiwan,0,2,0%,6
Israel,0,2,0%,8.5
Latvia,0,2,0%,9.5
United Arab Emirates,0,2,0%,11
Azerbaijan,0,2,0%,11
Bahrain,0,2,0%,11
Iraq,0,2,0%,25
Angola,0,1,0%,1
Malta,0,1,0%,1
Trinidad & Tobago,0,1,0%,1
Kazakhstan,0,1,0%,2
Ethiopia,0,1,0%,3
Kuwait,0,1,0%,3
Lithuania,0,1,0%,3
Caribbean Netherlands,0,1,0%,4
China,0,1,0%,5
Cuba,0,1,0%,5
Guinea-Bissau,0,1,0%,5
Honduras,0,1,0%,6
Iran,0,1,0%,7
Bahamas,0,1,0%,8
Macau,0,1,0%,10
Jordan,0,1,0%,11
Tunisia,0,1,0%,11
Unknown Region,0,1,0%,11
Tanzania,0,1,0%,14
Nicaragua,0,1,0%,16
U.S. Virgin Islands,0,1,0%,17
Seychelles,0,1,0%,18
Algeria,0,1,0%,30
Hungary,0,1,0%,30
Myanmar (Burma),0,1,0%,45
Costa Rica,0,1,0%,63