Top pages,Clicks,Impressions,CTR,Position
https://thetool.guru/,38,1701,2.23%,9.2
https://thetool.guru/tools/file-size-converter,6,145,4.14%,14.9
https://thetool.guru/tools/password-generator,2,16,12.5%,8.94
https://thetool.guru/tools/base64,1,135,0.74%,30
https://thetool.guru/tools/decision-maker,1,9,11.11%,10.89
https://thetool.guru/tools/tip-calculator,1,8,12.5%,57
http://thetool.guru/,1,3,33.33%,1
https://thetool.guru/tools,0,210,0%,9.3
https://thetool.guru/about,0,88,0%,15.11
https://thetool.guru/tools/square-unit-price-calculator,0,70,0%,38.3
https://thetool.guru/blog/getting-started-with-base64-encoding,0,33,0%,50.24
https://thetool.guru/tools/pdf-merger,0,15,0%,4.47
https://thetool.guru/tools/json-formatter,0,15,0%,54.93
https://thetool.guru/tools/number-base-converter,0,14,0%,5.57
https://thetool.guru/tools/hash-generator,0,14,0%,6.86
https://thetool.guru/tools/robots-tester,0,13,0%,6.15
https://thetool.guru/blog,0,11,0%,3
https://thetool.guru/tools/redirect-checker,0,11,0%,14.27
https://thetool.guru/blog/top-10-productivity-tools-for-developers,0,11,0%,67.64
https://thetool.guru/tools/word-counter,0,7,0%,7.14
https://thetool.guru/tools/website-speed-test,0,7,0%,37.29
https://thetool.guru/tools/lorem-ipsum,0,6,0%,6.33
https://thetool.guru/tools/text-analyzer,0,5,0%,22.6
https://thetool.guru/tools/curl-tool,0,4,0%,7.75
https://thetool.guru/tools/speed-converter,0,4,0%,9
https://thetool.guru/tools/random-number-generator,0,4,0%,49.5
https://thetool.guru/tools/age-calculator,0,3,0%,9
https://thetool.guru/tools/unit-converter,0,3,0%,10
https://thetool.guru/tools/website-screenshot,0,3,0%,10.67
https://thetool.guru/tools/whois-lookup,0,2,0%,3
https://thetool.guru/tools/cron-job-generator,0,2,0%,10
https://thetool.guru/tools/energy-converter,0,2,0%,10.5
https://thetool.guru/blog/ultimate-guide-to-javascript-minification,0,2,0%,17
https://thetool.guru/tools/mortgage-calculator,0,1,0%,3
https://thetool.guru/tools/regex-tester,0,1,0%,4
https://thetool.guru/tools/text-summarizer,0,1,0%,6
https://thetool.guru/tools/random-name-generator,0,1,0%,11
https://thetool.guru/tools/gitignore-generator,0,1,0%,16
https://thetool.guru/tools/text-diff,0,1,0%,16
https://thetool.guru/tools/ssl-checker,0,1,0%,42
https://thetool.guru/tools/password-strength-checker,0,1,0%,46
https://thetool.guru/blog/ultimate-guide-to-gitignore-files,0,1,0%,76